"Year","GEO","Prices","Estimates","UOM","SCALAR_FACTOR","VALUE"
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: residential structures","Dollars","millions",29456
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: non-residential structures","Dollars","millions",25279
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: machinery and equipment","Dollars","millions",5595
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: intellectual property products","Dollars","millions",1624
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: residential structures","Dollars","millions",112
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: non-residential structures","Dollars","millions",16534
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",177
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: weapons systems","Dollars","millions",340
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: intellectual property products","Dollars","millions",2549
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",155
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",254
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",30
1961,"Canada","Current prices","Business gross fixed capital formation: residential structures","Dollars","millions",2136
1961,"Canada","Current prices","Business gross fixed capital formation: non-residential structures","Dollars","millions",2424
1961,"Canada","Current prices","Business gross fixed capital formation: machinery and equipment","Dollars","millions",2132
1961,"Canada","Current prices","Business gross fixed capital formation: intellectual property products","Dollars","millions",224
1961,"Canada","Current prices","General governments gross fixed capital formation: residential structures","Dollars","millions",12
1961,"Canada","Current prices","General governments gross fixed capital formation: non-residential structures","Dollars","millions",1624
1961,"Canada","Current prices","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",188
1961,"Canada","Current prices","General governments gross fixed capital formation: weapons systems","Dollars","millions",72
1961,"Canada","Current prices","General governments gross fixed capital formation: intellectual property products","Dollars","millions",232
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",16
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",28
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",4
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: residential structures","Percent","units",NA
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: non-residential structures","Percent","units",NA
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: machinery and equipment","Percent","units",NA
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: intellectual property products","Percent","units",NA
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: residential structures","Percent","units",NA
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: non-residential structures","Percent","units",NA
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: machinery and equipment","Percent","units",NA
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: weapons systems","Percent","units",NA
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: intellectual property products","Percent","units",NA
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: residential investment","Percent","units",NA
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Percent","units",NA
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Percent","units",NA
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Percent","units",NA
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: residential structures","Dollars","millions",25355
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: non-residential structures","Dollars","millions",23411
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: machinery and equipment","Dollars","millions",4970
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: intellectual property products","Dollars","millions",1465
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: residential structures","Dollars","millions",100
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: non-residential structures","Dollars","millions",15456
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",150
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: weapons systems","Dollars","millions",266
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: intellectual property products","Dollars","millions",2178
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",141
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",241
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",27
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: residential structures","Dollars","millions",22678
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: non-residential structures","Dollars","millions",19789
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: machinery and equipment","Dollars","millions",5216
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: intellectual property products","Dollars","millions",1330
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: residential structures","Dollars","millions",87
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: non-residential structures","Dollars","millions",13101
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",159
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: weapons systems","Dollars","millions",210
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: intellectual property products","Dollars","millions",1967
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",116
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",206
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",24
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: residential structures","Dollars","millions",30287
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: non-residential structures","Dollars","millions",25657
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: machinery and equipment","Dollars","millions",5396
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: intellectual property products","Dollars","millions",1648
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: residential structures","Dollars","millions",150
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: non-residential structures","Dollars","millions",18077
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",203
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: weapons systems","Dollars","millions",416
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: intellectual property products","Dollars","millions",2757
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",116
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",254
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",30
1961,"Canada","Current prices","Business gross fixed capital formation: residential structures","Dollars","millions",2192
1961,"Canada","Current prices","Business gross fixed capital formation: non-residential structures","Dollars","millions",2452
1961,"Canada","Current prices","Business gross fixed capital formation: machinery and equipment","Dollars","millions",2032
1961,"Canada","Current prices","Business gross fixed capital formation: intellectual property products","Dollars","millions",228
1961,"Canada","Current prices","General governments gross fixed capital formation: residential structures","Dollars","millions",16
1961,"Canada","Current prices","General governments gross fixed capital formation: non-residential structures","Dollars","millions",1640
1961,"Canada","Current prices","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",204
1961,"Canada","Current prices","General governments gross fixed capital formation: weapons systems","Dollars","millions",88
1961,"Canada","Current prices","General governments gross fixed capital formation: intellectual property products","Dollars","millions",252
